"Subject","Block","Trial","Stim_1","Stim_2","RT","Reaction"
"zPiRR","1",1,"1","1",336,"Correct"
"zPiRR","1",2,"1","1",430,"Correct"
"zPiRR","1",3,"1","1",430,"Correct"
"zPiRR","1",4,"1","1",309,"Correct"
"zPiRR","1",5,"2","1",253,"Correct"
"zPiRR","1",6,"1","1",386,"Correct"
"zPiRR","1",7,"1","1",275,"Correct"
"zPiRR","1",8,"1","2",339,"Incorrect"
"zPiRR","1",9,"1","1",368,"Correct"
"zPiRR","1",10,"1","1",469,"Correct"
"zPiRR","1",11,"1","1",366,"Correct"
"zPiRR","1",12,"2","1",287,"Correct"
"zPiRR","1",13,"1","1",441,"Correct"
"zPiRR","1",14,"1","2",593,"Correct"
"zPiRR","1",15,"2","2",326,"Correct"
"zPiRR","1",16,"1","1",372,"Correct"
"zPiRR","1",17,"1","1",329,"Correct"
"zPiRR","1",18,"1","1",399,"Correct"
"zPiRR","1",19,"1","1",429,"Correct"
"zPiRR","1",20,"1","1",343,"Correct"
"zPiRR","1",21,"1","1",423,"Correct"
"zPiRR","1",22,"1","2",488,"Correct"
"zPiRR","1",23,"1","1",427,"Correct"
"zPiRR","1",24,"1","2",480,"Correct"
"zPiRR","1",25,"1","1",414,"Correct"
"zPiRR","1",26,"2","1",284,"Correct"
"zPiRR","1",27,"1","1",361,"Correct"
"zPiRR","1",28,"1","1",425,"Correct"
"zPiRR","1",29,"2","1",312,"Correct"
"zPiRR","1",30,"1","1",330,"Correct"
"zPiRR","1",31,"1","1",460,"Correct"
"zPiRR","1",32,"1","2",451,"Correct"
"zPiRR","1",33,"2","1",351,"Correct"
"zPiRR","1",34,"1","1",362,"Correct"
"zPiRR","1",35,"2","2",405,"Correct"
"zPiRR","1",36,"1","1",354,"Correct"
"zPiRR","1",37,"1","1",406,"Correct"
"zPiRR","1",38,"1","1",426,"Correct"
"zPiRR","1",39,"1","2",558,"Correct"
"zPiRR","1",40,"1","1",455,"Correct"
"zPiRR","1",41,"1","1",484,"Correct"
"zPiRR","1",42,"1","1",525,"Correct"
"zPiRR","1",43,"2","2",381,"Correct"
"zPiRR","1",44,"1","1",510,"Correct"
"zPiRR","1",45,"1","2",746,"Correct"
"zPiRR","1",46,"2","1",325,"Correct"
"zPiRR","1",47,"1","1",350,"Correct"
"zPiRR","1",48,"1","1",406,"Correct"
"zPiRR","1",49,"1","2",526,"Correct"
"zPiRR","1",50,"1","1",408,"Correct"
"zPiRR","1",51,"1","1",373,"Correct"
"zPiRR","1",52,"1","1",331,"Correct"
"zPiRR","1",53,"2","2",294,"Correct"
"zPiRR","1",54,"2","2",267,"Correct"
"zPiRR","1",55,"1","1",354,"Correct"
"zPiRR","1",56,"1","1",420,"Correct"
"zPiRR","1",57,"1","1",356,"Correct"
"zPiRR","1",58,"1","1",394,"Correct"
"zPiRR","1",59,"1","1",369,"Correct"
"zPiRR","1",60,"1","1",346,"Correct"
"zPiRR","1",61,"1","1",358,"Correct"
"zPiRR","1",62,"1","1",366,"Correct"
"zPiRR","1",63,"1","1",556,"Correct"
"zPiRR","1",64,"2","1",314,"Correct"
"zPiRR","1",65,"2","2",563,"Correct"
"zPiRR","1",66,"1","1",431,"Correct"
"zPiRR","1",67,"1","2",522,"Correct"
"zPiRR","1",68,"2","1",254,"Correct"
"zPiRR","1",69,"1","1",348,"Correct"
"zPiRR","1",70,"2","2",308,"Correct"
"zPiRR","1",71,"1","1",417,"Correct"
"zPiRR","1",72,"1","2",517,"Correct"
"zPiRR","1",73,"1","1",663,"Correct"
"zPiRR","1",74,"1","1",398,"Correct"
"zPiRR","1",75,"1","1",408,"Correct"
"zPiRR","1",76,"1","1",417,"Correct"
